ID,Binomial,Long,Lat,Aspect,curvature,Driver,Droad,elevation,NDSI,NDVI,rainfall,slope,TWI
250,1,187565.9081,-239150.4301,239.036,0.222222,7688.96,0.0674889,1441,0.339138,0.5,846,1.35114,6.72988
251,1,183861.6708,-213120.6815,115.346,0,2238.87,0.0315221,1597,0.347826,0.494198,989,4.86082,7.8475
252,1,181118.1533,-221667.9493,18.4349,-0.222222,4018.84,0.0338804,1348,0.31934,0.579934,1000,2.19761,0
253,1,186847.7877,-232631.4749,212.471,0.222222,3561.82,0.0969984,1472,0.380813,0.375268,896,6.02134,7.97633
254,1,191970.8087,-227056.1078,282.804,0.333333,509.654,0.073322,1365,0.336305,0.578796,972,10.3437,5.09981
255,1,183740.6342,-232166.4838,270,-0.222222,5703.21,0.0701503,1422,0.292768,0.518454,933,2.77896,0
256,1,185664.2022,-244807.8935,30.9638,0,10457.8,0.0136433,1394,0.415564,0.334602,859,2.70078,6.95358
257,1,97187.98179,-193410.1921,193.671,-0.111111,1019.31,0.0162085,2320,-0.18932,0.592677,1208,24.8011,0
258,1,120331.6621,-174288.4791,25.71,0,4370.79,0.0414608,1913,0.129845,0.753141,1296,25.8669,8.23731
259,1,103444.1869,-181350.6067,264.472,0.555556,1371.59,0.0195378,2622,0.172908,0.77688,1278,32.207,3.55757
260,1,115933.6996,-179512.1824,223.025,-0.222222,1860.57,0.0396343,2366,0.14992,0.69328,1286,9.42477,8.10159
261,1,96831.49644,-193255.8951,315,-0.888889,655.537,0.0166026,2122,-0.384615,0.631505,1207,25.1304,5.88554
262,1,114330.8505,-183605.5095,70.821,-0.333333,2348.78,0.0535483,2391,0.180354,0.662568,1290,11.1448,7.73324
263,1,122789.8688,-168106.1045,135,-0.111111,4532.96,0.0100328,1831,0.284177,0.575144,1266,0.655493,0
264,1,108640.8799,-200045.6342,5.8696,-0.333333,1576.02,0.0244869,2449,-0.0306016,0.195147,1281,23.5137,3.87267
265,1,95888.54874,-189468.0196,15.8025,-0.222222,957.971,0.0114222,2012,0.147606,0.680517,1195,24.0183,6.624
266,1,124493.9119,-187061.8854,211.399,0.222222,1057.02,0,1570,0.113573,0.801001,1225,20.0472,4.72547
267,1,103473.6883,-297815.0533,192.265,-0.222222,1140.04,0.0993199,2160,0.354592,0.422956,1565,5.43863,0
268,1,101018.7713,-300376.9925,91.5766,0.111111,1176.72,0.131127,2403,0.349466,0.679696,1603,23.801,3.86052
269,1,102534.0926,-291073.5836,63.4349,0.888889,1404.61,0.0593817,2352,0.369598,0.67762,1563,26.032,5.96802
270,1,96548.28482,-294603.7167,355.855,0.111111,459.396,0.118843,2481,0.220302,0.822473,1615,15.6336,5.19745
271,1,85052.24791,-281926.2494,137.01,0.444444,1063.33,0.0350608,2482,0.232558,0.863385,1619,18.0699,0
272,1,110036.1186,-284035.0728,260.538,0.555556,218.512,0.0184178,2059,0.319123,0.61025,1490,19.0072,3.39249
273,1,112760.8936,-295339.4391,101.976,0,526.247,0.0265166,1938,0.43382,0.355757,1367,22.2625,0
274,1,93827.63327,-276212.1123,151.905,0.777778,92.7069,0.0266579,2329,0.210918,0.671608,1576,31.3767,3.58374
275,1,98533.71797,-273360.2261,28.1237,-0.888889,898.296,0.062262,2317,0.294326,0.693231,1527,28.0146,3.00414
276,1,90448.63368,-283685.1588,12.2648,-0.222222,459.396,0.0436869,2398,0.23964,0.821439,1608,10.781,0
277,1,171339.8629,-184516.8812,82.2664,0.555556,677.74,0.00299696,1823,0.322566,0.634731,1163,18.2966,0
278,1,170077.5542,-169987.9396,16.2602,0.222222,1158.32,0.0356401,2150,0.294437,0.589173,1171,11.4339,0
279,1,171772.3398,-183135.5495,193.134,0.333333,224.972,0.00649009,1768,0.329371,0.45766,1163,13.9942,3.69884
280,1,178017.9768,-175843.0719,299.745,0.444444,332.828,0.0198113,1893,0.295676,0.697616,1149,14.6222,0
281,1,172650.9109,-183465.3692,194.808,0.222222,899.889,0.0115972,1943,0.245763,0.58886,1157,20.0018,4.44006
282,1,159084.7645,-174506.867,253.811,-0.666667,2059.36,0.0209159,2125,0.216,0.796123,1175,21.3912,7.65626
283,1,161398.2703,-181495.7326,102.894,-0.555556,1381.99,0.0273829,2012,0.366102,0.580135,1163,34.5606,4.73964
284,1,169972.7826,-182642.1104,59.7827,-0.111111,1280.49,0.00295795,2134,0.330184,0.657517,1166,23.0728,3.19848
285,1,159573.5205,-188120.9478,244.179,0.333333,773.175,0.00846296,2094,0.262619,0.607644,1169,15.5682,0
286,1,160887.2958,-187689.3176,243.435,0.444444,241.355,0.0180698,1900,0.167785,0.809978,1164,23.4683,3.18146
287,1,215346.9451,-195878.7894,51.8428,0.111111,995.131,0.00413664,1518,0.422441,0.453887,884,8.19643,0
288,1,200647.2422,-191683.5081,37.0928,-0.222222,1425.87,0.0467908,1711,0.379346,0.587262,960,11.7453,7.24138
289,1,215870.0298,-186391.2685,274.086,-0.222222,8367.28,0.0451091,1397,0.350443,0.568474,892,6.47812,0
290,1,219837.9214,-195110.0533,259.992,0.111111,2503.09,0.00773644,1647,0.357319,0.593797,894,7.95024,6.34386
291,1,199704.4219,-180941.2025,45,0,30.9023,0.0642179,1435,0.271343,0.716934,977,0.327757,8.55178
292,1,205229.4975,-174332.6962,251.565,0.111111,5324.71,0.0312099,1414,0.409455,0.503488,894,0.732855,0
293,1,219371.55,-190772.602,0,-0.111111,4397.37,0.0333506,1448,0.39245,0.431242,897,6.91902,4.40336
294,1,212462.2718,-179545.4202,233.653,-0.222222,11443.9,0.0412023,1624,0.35336,0.414512,894,28.0284,4.10226
295,1,217747.6337,-182714.577,176.82,-0.222222,11938.5,0.0743867,1374,0.390476,0.548449,891,8.29779,4.91477
296,1,207388.7524,-180282.051,315,-0.111111,6555.73,0.00431976,1417,0.367232,0.59081,913,6.52683,5.15487
297,1,220009.9566,-220870.0266,228.814,0.222222,858.617,0.0189156,1487,0.29755,0.660747,975,4.91523,5.43847
298,1,215096.6335,-219370.1043,356.186,0.222222,432.632,0.0165302,1433,0.442663,0.480076,961,10.3387,0
299,1,215023.7302,-216720.5303,170.538,0.444444,1598.88,0,1541,0.41885,0.482859,960,5.6209,5.30431
300,1,216008.4662,-206098.6623,315,0.222222,1730.53,0.028302,1517,0.326932,0.568362,928,2.62026,0
301,1,218471.7163,-212555.0034,248.749,0,387.205,0.0130782,1431,0.393158,0.550277,953,8.88033,6.23321
302,1,218854.5727,-213457.7263,235.784,0.111111,390.887,0.0102956,1457,0.326024,0.675726,955,6.9721,6.79361
303,1,222534.6438,-217600.962,263.928,0.444444,546.718,0.00211917,1567,0.357071,0.598033,965,10.8237,3.95583
304,1,210407.6508,-214401.6374,139.399,-0.111111,131.107,0.0118971,1501,0.366299,0.533088,961,8.48439,5.298
305,1,217444.9618,-206441.0102,96.953,1.11111,315.143,0.0233772,1492,0.404887,0.504632,928,9.48502,6.03379
306,1,214805.7209,-219866.9737,59.0362,0,710.753,0.0215988,1465,0.386353,0.502359,961,2.70078,0
307,1,233730.8168,-238393.2661,18.4349,0,3790.92,0.0075695,1584,0.373626,0.651701,1007,3.65949,0
308,1,232923.7528,-213971.8303,104.036,0,624.96,0.0404398,1363,0.394799,0.537453,923,3.81666,7.39619
309,1,234914.2297,-174362.2758,195.832,-0.111111,14447.5,0.0682646,1520,0.317284,0.491539,972,29.3971,6.66946
310,1,223089.4716,-181483.9492,247.62,-0.111111,14401.8,0.12234,1337,0.385401,0.579561,897,4.25306,7.98107
311,1,238574.3734,-220605.9165,138.366,0,218.512,0.0304578,1435,0.427426,0.462777,927,5.56401,7.18629
312,1,239516.4536,-187984.1332,214.114,0.444444,17521.4,0.0235142,1435,0.262121,0.685938,922,24.4359,3.14101
313,1,204665.2774,-154079.0334,71.565,0.111111,4150.24,0.0517482,1430,0.322136,0.567637,883,5.11662,0
314,1,210649.8516,-142939.6494,71.565,0,4605.69,0.00980251,1410,0.405202,0.453409,876,2.92903,10.1228
315,1,205610.7639,-154147.0287,183.814,0,3315.78,0.0464703,1448,0.362849,0.60095,881,3.47986,5.09068
316,1,238887.1181,-190623.5399,206.565,0,17794.6,0.0405172,1303,0.387097,0.488233,910,3.10636,7.76917
